"host","count","min","avg","max"
"blimburnseeds.com","81","12","64,46","175"
"aceseeds.org","79","13","111,16","500"
"hyp3rids.com","75","60","67,2","90"
"bulkseedbank.org","61","175","175","175"
"northcoastgenetics.com","58","25","62,67","175"
"dnagenetics.com","43","1","5901,72","8018"
"spliffseeds.nl","34","24","288,79","365"
"kcbrains.com","28","95","186,07","245"
"lasemillaautomatica.com","24","1","430,46","1249"
"visionseeds.nl","22","15","160,45","225"
"genehtik.com","22","9","29,36","399"
"thebulldogseeds.com","11","25","64,36","395"
"drunderground.com","9","2","13,78","18"
