"title","price_norm","host","link"
"Marruecos Beldia Kif Regular","13","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-regulares/"
"Orient Express Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/orient-express-semillas-feminizadas/"
"Haze X Kali China Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/"
"Fuelato Pre Roll","12","blimburnseeds.com","https://blimburnseeds.com/fuelato-pre-roll/"
"London Pound Cake Pre Roll","12","blimburnseeds.com","https://blimburnseeds.com/london-pound-cake-pre-roll/"
"RS11 Pre Roll","12","blimburnseeds.com","https://blimburnseeds.com/rs11-pre-roll/"
"KALI&#8217;S MISTERY","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/kalis-mistery-2/"
"GUERILLA GLUE","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/guerilla-glue-2/"
"GREEN SCOUT COOKIES","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/green-scout-cookies-2/"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Worldwide Alliance","30","dnagenetics.com","https://dnagenetics.com/product/worldwide-alliance/"
"DNA Cake Auto Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/dna-cake-auto/"
"Dark Cookie","0,2","drunderground.com","https://drunderground.com/producto/dark-cookie-copy-copy-copy-copy-copy/"
"Crystal M.E.T.H.","0,2","drunderground.com","https://drunderground.com/producto/crystal-meth-2/"
"King Kong","0,15","drunderground.com","https://drunderground.com/producto/king-kong-2/"
"OG Lemon Bilbo","9","genehtik.com","https://www.genehtik.com/producto/og-lemon-bilbo/"
"PH-","9","genehtik.com","https://www.genehtik.com/producto/ph/"
"Kritikal Bilbo x AK-47","9","genehtik.com","https://www.genehtik.com/producto/kritikal-bilbo-x-ak-47/"
"PACIFIC PEARL","60","hyp3rids.com","https://hyp3rids.com/product/pacific-pearl"
"ORO NEGRA","60","hyp3rids.com","https://hyp3rids.com/product/oro-negra"
"OMP aka OH! My Purple","60","hyp3rids.com","https://hyp3rids.com/product/omp-aka-oh-my-purple"
"Cristal Limit®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/cristal-limit/"
"Cristal Paradise®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/cristal-paradise/"
"Brasil x K.C.®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/brasil-x-k-c/"
"Papel Natural King Size","1","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/merchandising/papel-natural-king-size/"
"Púrpura","5","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/purpura/"
"Jack Sparrow","6","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/jack-sparrow/"
"SHEBERGAN X KROENG KRAWIA THAI LANDRACE","25","northcoastgenetics.com","https://northcoastgenetics.com/product/shebergan-x-kroeng-krawia-thai-landrace"
"Honey Bucket Hash","25","northcoastgenetics.com","https://northcoastgenetics.com/product/honey-bucket-hash"
"Purple Panty Cake F1","25","northcoastgenetics.com","https://northcoastgenetics.com/product/purple-panty-cake-f1"
"Spliff Cheese Automatic Female Cannabis Seeds","24","spliffseeds.nl","https://www.spliffseeds.nl/product/spliff-cheese-automatic-female-cannabis-seeds/"
"Haze #1 Regular Cannabis Seeds","9,9","spliffseeds.nl","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/"
"Blue Berry Regular Cannabis Seeds","17,5","spliffseeds.nl","https://www.spliffseeds.nl/product/blue-berry-regular-cannabis-seeds/"
"TB Kush","25","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-kush/"
"The Bulldog Amsterdam Black Clipper – Original &#038; Authentic","2,5","thebulldogseeds.com","https://thebulldogseeds.com/product/the-bulldog-amsterdam-black-clipper-original-authentic/"
"TB Purple CBD Auto","27","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-purple-cbd-auto/"
"Blue Power","15","visionseeds.nl","https://www.visionseeds.nl/product/blue-power/"
"Delhi Cheese – AutoFem","15","visionseeds.nl","https://www.visionseeds.nl/product/delhi-cheese-autofem/"
"Brainkiller Haze","25","visionseeds.nl","https://www.visionseeds.nl/product/brainkiller-haze/"
