"host","title","price_old","price_new","diff","link"
"aceseeds.org","ACE Mix Regular","21","12,6","-8,4","https://www.aceseeds.org/semillas/ace-mix-regular-semillas-baratas/"
"aceseeds.org","Bangi Haze Regular","35","21","-14","https://www.aceseeds.org/semillas/bangi-haze-semillas-regulares/"
"aceseeds.org","CBD # 1 x Panama I+D Feminizada","42,25","65","22,75","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/"
"aceseeds.org","China Yunnan Regular","35","21","-14","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/"
"aceseeds.org","Congo Regular","35","21","-14","https://www.aceseeds.org/semillas/congo-semillas-regulares/"
"aceseeds.org","ErdPurt x Panama I+D Feminizada","32,5","50","17,5","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/"
"aceseeds.org","Golden Tiger Regular","35","21","-14","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/"
"aceseeds.org","Haze X Kali China Feminizada","15","9","-6","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/"
"aceseeds.org","Kali China Feminizada","15","9","-6","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/"
"aceseeds.org","Malawi / PCK #47 morada x ErdPurt I+D Regular","32,5","50","17,5","https://www.aceseeds.org/semillas/malawipckxerdpurt-semillas-regulares/"
"aceseeds.org","Malawi / PCK #47 morada x Nueva Malawi asesina I+D Feminizada","32,5","50","17,5","https://www.aceseeds.org/semillas/malawipckxnewmalawikiller-fem/"
"aceseeds.org","Malawi x Panamá Regular","35","21","-14","https://www.aceseeds.org/semillas/malawixpanama-semillas-regulares/"
"aceseeds.org","Marruecos Beldia Kif Feminizada","11","6,6","-4,4","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"aceseeds.org","Marruecos Beldia Kif Regular","26","15,6","-10,4","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-regulares/"
"aceseeds.org","Nepal Annapurna Regular","26","15,6","-10,4","https://www.aceseeds.org/semillas/nepal-annapurna-semillas-regulares/"
"aceseeds.org","Nepal Jam Regular","35","21","-14","https://www.aceseeds.org/semillas/nepal-jam-semillas-regulares/"
"aceseeds.org","Nepal Mist Regular","50","30","-20","https://www.aceseeds.org/semillas/nepal-mist-semillas-regulares/"
"aceseeds.org","Panama x Bangi Haze Feminizada","15","9","-6","https://www.aceseeds.org/semillas/panama-bangi-haze-semillas-feminizadas/"
"aceseeds.org","Panama Haze Feminizada","15","9","-6","https://www.aceseeds.org/semillas/panama-haze-semillas-feminizadas/"
"aceseeds.org","Purple Haze x Malawi Regular","35","21","-14","https://www.aceseeds.org/semillas/purple-hazexmalawi-semillas-regulares/"
"aceseeds.org","Super Malawi Haze Feminizada","15","9","-6","https://www.aceseeds.org/semillas/super-malawi-haze-semillas-feminizadas/"
"aceseeds.org","Zamal morada x A5 Haze I+D Feminizada","42,25","65","22,75","https://www.aceseeds.org/semillas/zamalmoradaxa5haze-semillas-feminizadas/"
"aceseeds.org","Zamal morada x Bangi Haze I+D Feminizada","42,25","65","22,75","https://www.aceseeds.org/semillas/zamalmoradaxbangihaze_semillas_feminizadas/"
"aceseeds.org","Zamal morada x ErdPurt I+D Regular","32,5","50","17,5","https://www.aceseeds.org/semillas/zamalmoradaxerdpurt-semillas-regulares/"
